Siswa,Jawaban,Manual 1,Manual 2,Manual 3,Rata Manual
siswa_2 ,1 Makan permen 2 Makan coklat 3 Mendengarkan mp3 4 Menggambar 5 Main game 6 Memikirkan sesuatu yang indah 7 Bercanda dengan teman 8 Tidur ,12.0,25.0,25.0,20.666666666666668
siswa_3 ,1. cuci muka 2. bermain social media 3. mendengarkan musik 4. bermain game 5. makan 6. minum 7. strecthing ringan 8. menghirup udara segar ,28.0,30.0,25.0,27.666666666666668
siswa_4 ,1. Stretching setiap 1 jam. 2. Arahkan pandangan ke tujuan yang jauh. 3. Bermain game. 4. Jalan-jalan sekitar lokasi. 5. Istirahat secukupnya. 6. Mendengarkan musik. 7. Menonton film. 8. Pergi ke taman. ,22.0,25.0,25.0,24.0
siswa_6 ,1. memikirkan pelajaran secara bijaksana 2. olahraga jalan-jalan kecil 3. membawa obat stress 4. mengajak bicara teman 5. bercanda 6. ngemil 7. ke kamar mandi cuci muka 8. memejamkan mata ,18.0,25.0,25.0,22.666666666666668
siswa_7 ,Makan makanan yang bergizi. Meminum banyak air putih. Istirahat yang cukup ketika waktu senggang. Bermain game online. Bermain gadget. Aktif di sosial media. Keluar gedung untuk menyegarkan otak. menonton televisi. ,20.0,30.0,25.0,25.0
siswa_8 ,"refreshing sejenak,minum air putih agar segar,lakukan olahraga kecil-kecilan agar badan tidak cepat lelah,isi nutrisi dengan makan yang ringan,minum kopi,sholat agar dapat pencerahan,lakukan strechcing dikelas,main game ",16.0,26.0,25.0,22.333333333333332
siswa_9 ,"refreshing sejenak,minum air putih agar segar,lakukan olahraga kecil-kecilan agar badan tidak cepat lelah,isi nutrisi dengan makan yang ringan,minum kopi,sholat agar dapat pencerahan,lakukan strechcing dikelas,main game ",16.0,26.0,25.0,22.333333333333332
siswa_10 ,"mengambil jeda untuk istirahat, tidak memaksakan tenaga dan pikiran, selalu berfikir positif, mengerjakan tanpa mengeluh, sedikit olah raga ringan, membuat tempat kerja nyaman dan tidak berantakan, aliran udara baik di lingkungan tempat kerja, memberi tanaman kecil di meja kerja ",19.0,35.0,25.0,26.333333333333332
siswa_11 ,"makan, tidur sejenak, main game, minum hot chocolate, berjalan keliling kampus, cowok ganteng, nonton film, instagram. ",12.0,15.0,10.0,12.333333333333334
siswa_12 ,nonton main hp cerita dengan teman ,5.0,5.0,10.0,6.666666666666667
siswa_13 ,"tidur, ke mall, makan, nonton film, mendengarkan musik, jalan jalan ",18.0,20.0,25.0,21.0
siswa_14 ,"tidur, makan, makan lagi, minum, istirahat, shalat, cuci muka, bermain game ",15.0,15.0,10.0,13.333333333333334
siswa_16 ,1) Bermain Game 2) Liburan ke pantai 3) Pergi ke Mall 4) Menonton film di bioskop atau di rumah 5) Liburan ke luar daerah 6) Liburan edukatif 7) Olah Raga renang 8) Tidur yang cukup ,20.0,25.0,25.0,23.333333333333332
siswa_17 ,melihat novie ,5.0,5.0,10.0,6.666666666666667
siswa_18 ,"main game, makan kue ciki-ciki, bersandiwara, barmain sama adik kecil, menelepon yang dicintai, dibawah sholat atau berdzikir mendekatkan diri pada Allah.SWT, menggagu teman atau usil, dibawa berwudhu atau cuci muka. ",22.0,40.0,50.0,37.333333333333336
siswa_19 ,melihat film hiburan refreshing main game ,9.0,10.0,10.0,9.666666666666666
siswa_20 ,"mendengarkan musik, jalan jalan, main game, nonton film, makan, minum, ke toilet, tidur ",28.0,33.0,25.0,28.666666666666668
siswa_21 ,"bermain game, menonton film , makan makanan ringan , tidur , minum kopi , lihat tv, mendengarkan musik, membuka internet ",17.0,18.0,25.0,20.0
siswa_22 ,"Membaca buku,olahraga,menonton anime,makan,jalan-jalan,bersepeda,tidur,bermain game ",12.0,24.0,25.0,20.333333333333332
siswa_23 ,liat film ,5.0,5.0,10.0,6.666666666666667
siswa_24 ,pergi ke kantin tidur mendengarkan musik ngerokok pergi ke ruangan ber AC ,8.0,10.0,10.0,9.333333333333334
siswa_25 ,refreshing makan minum istirahat play game playing game main game bermain game ,11.0,10.0,10.0,10.333333333333334
siswa_26 ,1. jajan dikantin 2. istirahat ,8.0,5.0,10.0,7.666666666666667
siswa_31 ,"pergi ke kantin , tidur di bawah ac ",6.0,5.0,10.0,7.0
