Jawaban tanpa Punctuation,Manual 1,Manual 2,Manual 3,Rata Manual
sumber tenaga pemanis alami menjaga sistem imun dan sebagai keseimbangan tubuh ,20.0,35.0,25.0,26.666666666666668
sebagai sumber energi pemanis alami menjaga sistem imun tubuh mengoptimalkan kerja protein ,18.0,20.0,25.0,21.0
1 sebagai energi 2 sebagai memperlancaar pencernaan 3 sebagai sistem imun 4 sebagai cadangan lemak ,25.0,50.0,50.0,41.666666666666664
untuk membuat kenyang agar tidak lapar agar kuat dan sehat dapat melakukan aktivitas ,15.0,15.0,25.0,18.333333333333332
karbohidrat mempunyai peran penting untuk proses metabolisme atau proses yang berfungsi sebagai penyeimbang asam dan basa dalam tubuh karbohidrat dapat mencegah terjadinya ketidaksempurnaan proses oksidasi lemak fungsi karbohidrat yang utama adalah sebagai pemasok energi makanan berkarbohidrat dan serat tinggi dapat membantu memperlancar proses pada pencernaan ,70.0,90.0,85.0,81.66666666666667
1 untuk menjaga sistem imun tubuh 2 untuk proses metabolisme penyeimbang asam dan basa didalam tubuh 3 mencegah terjadinya ketidaksempurnaan untuk proses oksidasi lemak 4 pemasok energi ,40.0,50.0,50.0,46.666666666666664
1 untuk menjaga sistem imun tubuh 2 untuk proses metabolisme penyeimbang asam dan basa didalam tubuh 3 mencegah terjadinya ketidaksempurnaan untuk proses oksidasi lemak 4 pemasok energi ,40.0,60.0,50.0,50.0
menambah energi dalam tubuh untuk proses metabolisme memperlancar proses pencernaan untuk mengoptimalkan kerja protein ,35.0,30.0,40.0,35.0
kegunaan karbohidrat untuk tubuh kita adalah menambah energi proses metabolisme dalam tubuh memperlancar proses pencernaan dan berfungsi untuk mengoptimalkan kerja protein dalam tubuh ,40.0,65.0,40.0,48.333333333333336
sebagai sumber energi bagi tubuh penghasil gula darah penghasil enzim yang baik bagi lambung menyehatkan usus ,15.0,25.0,25.0,21.666666666666668
1 sebagai sumber energi pada tubuh 2 sebagai penghasil gula darah 3 sebagai sumber tenaga 4 sebagai pemenuh kebutuhan tubuh ,18.0,25.0,40.0,27.666666666666668
untuk sumber energi untuk pembentuk sel sebagai sumber tenaga sebagai pembentuk daging ,8.0,25.0,25.0,19.333333333333332
1 kegunaannya untuk memberikan tenaga bagi tubuh kita 2 memberikan energi 3 memberikan lemak 4 memberikan efek kenyang bagi tubuh kita ,56.0,50.0,50.0,52.0
kesehetan pertumbuhan ,0.0,0.0,10.0,3.3333333333333335
menjaga metabolisme tubuh menjaga menjaga stamina tetap stabil membuat seseorang bergairah dan menjaga keseimbangan tubuh terutama keasaman tubuh ,10.0,20.0,10.0,13.333333333333334
1tenaga 2energi 3makanan 4nasi ,15.0,15.0,10.0,13.333333333333334
ntuk menambah energ ,0.0,10.0,25.0,11.666666666666666
membuat tubuh tahan banting agar membuat tubuh terlihat bugar agar badan tidak lemas agar tetap sehat ,5.0,5.0,10.0,6.666666666666667
sumber tenaga sumber kalori membentuk massa otot memperkuat tulang ,10.0,10.0,25.0,15.0
tenaga kesehatan tulang dan tubuh ,10.0,5.0,10.0,8.333333333333334
nutrisi untuk tubuh menambah kekuatan mochi macho ,5.0,0.0,10.0,5.0
sebagai tenaga untuk mengganjel perut untuk kesehatan agar tidak kelaparan ,15.0,20.0,50.0,28.333333333333332
1 menambah tenaga ,5.0,10.0,25.0,13.333333333333334
mendapat tenaga ,5.0,10.0,25.0,13.333333333333334
1 sumber energi tubuh 2 mengendalikan berat badan 3 karbohidrat untuk mencegah penyakit 4 memelihara kesehatan jantung 5 mendukung fungsi pencernaan 6 meningkatkan penyerapan nutrisi 7 mencegah kerusakan jaringan otot 8 mengatur kenaikan kadar gula dalam darah 9 mencukupi kebutuhan fitonutrien 10 mendukung fungsi otak 11 mengatasi kecemasan ,35.0,50.0,85.0,56.666666666666664
karbohidrat merupakan salah satu komponen sebagai sumber tenaga dalam tubuh kita ,12.0,25.0,25.0,20.666666666666668
kegunaan karbohidrat sumber energi pengendalian berat badan pencegahan penyakit ,10.0,20.0,25.0,18.333333333333332
karbohidrat digunakan untuk nutrisi tubuh sumber energi sebagai glukosa dan memberikan tenaga cadangan ,20.0,25.0,25.0,23.333333333333332
karbohidrat sebagai sumber energi bagi tubuh manusia ,18.0,15.0,25.0,19.333333333333332
karbohidrat berfungsi sebagai energi bagi tubuh dengan membakar karbohidrat menjadi kalori ,25.0,25.0,25.0,25.0
menambah energi membuat kenyang membuat gemuk ,20.0,15.0,60.0,31.666666666666668
sebagai sumber energi dalam tubuh kita ,15.0,15.0,25.0,18.333333333333332
sumber energi tubuh mengendalikan berat badan ,10.0,10.0,25.0,15.0
 sebagai sumber energi tubuh  mengendalikan berat badan  karbohidrat untuk mencegah penyakit  memelihara kesehatan jantung  mendukung fungsi pencernaan  meningkatkan penyerapan nutrisi  mencegah kerusakan otot  mengatur kenaikan kadar gula dalam darah  mencukupi kebutuhan fitonutrien  mendukung fungsi otak  mengatasi kecemasan,40.0,50.0,70.0,53.333333333333336
sebagai sumber energi dalam tubuh ,15.0,15.0,25.0,18.333333333333332
sebagai energi ,8.0,10.0,10.0,9.333333333333334
kegunaan karbohidrat bagi tubuh adalah sebagai sumber energi bagi tubuh untuk melakukan aktivitas sehari hari ,20.0,25.0,25.0,23.333333333333332
karbohidrat memiliki bermacammacam manfaat yaitu sebagai sumber energi tubuh mengendalikan berat badan mendukung fungsi pencernaan mengatur kenaikan kadar gula dalam darah dan melancarkan fungsi pencernaan ,50.0,50.0,75.0,58.333333333333336
karbohidrat berguna sebagai pemberi energi agar tubuh kita memiliki tenaga dalam melakukan aktivitas sehari  hari ,22.0,25.0,25.0,24.0
 mempunyai peran penting untuk proses metabolisme atau proses yang berfungsi sebagai penyeimbang asam dan basa di dalam tubuh serta proses untuk membentuk jaringan sel struktur dan juga organorgan dalam tubuh  karbohidrat dapat mencegah terjadinya ,43.0,30.0,25.0,32.666666666666664
kegunaannya adalah sebagai pemasok energi dalam 1 gram karbohidrat mampu menghasilkan 4 kkalori yang melalui proses pembakaran kimiawi di dalam tubuh akan menjadi sumber energi ,28.0,25.0,25.0,26.0
 sumber energi tubuh  mengendalikan berat badan  karbohidrat untuk mencegah penyakit  memelihara kesehatan jantung  mendukung fungsi pencernaan  meningkatkan penyerapan nutrisi  mencegah kerusakan jaringan otot  mengatur kenaikan kadar gula dalam darah  mencukupi kebutuhan fitonutrien  mendukung fungsi otak  mengatasi kecemasan,41.0,50.0,70.0,53.666666666666664
kegunaan karbohidrat adalah sebagai sumber energi bagi tubuh agar bisa melaksanakan aktivitas dengan lancar ,19.0,23.0,25.0,22.333333333333332
mangan ,0.0,0.0,10.0,3.3333333333333335
untuk penambah stamina dalam tubuh kita dan untuk pencernaan ,21.0,20.0,10.0,17.0
untuk menggantikan energi yang sudah terkuras ,9.0,10.0,25.0,14.666666666666666
sebagai sumber energi ,10.0,10.0,25.0,15.0
karbohidrat untuk tubuh kita berguna untuk sumber tenaga dan sebagai penyuplai energi agar badan selalu merasa segar dan bertenga ,22.0,15.0,25.0,20.666666666666668
manfaat karbohidrat yang utama yaitu sebagai sumber energi tubuh ,19.0,20.0,25.0,21.333333333333332
agar tubuh menjadi bersemangat dan sehat kuat ,10.0,10.0,10.0,10.0
karbohidrat untuk menambah energi bagi tubuh kita ,19.0,15.0,25.0,19.666666666666668
sebagai asupan yang dapat menambah energi dan untuk mengatur kestabilan tubuh apabila dikonsumsi tidak berlebihan ,30.0,20.0,50.0,33.333333333333336
untuk suplay energi ,8.0,13.0,25.0,15.333333333333334
mempunyai peran penting untuk proses metabolisme atau proses yang berfungsi sebagai penyeimbang asam dan basa di dalam tubuh serta proses untuk membentuk jaringan sel struktur dan juga organorgan dalam tubuh karbohidrat dapat mencegah terjadinya ketidaksempurnaan proses oksidasi lemak fungsi karbohidrat yang utama adalah sebagai pemasok energi dalam 1 gram karbohidrat mampu menghasilkan 4 kkalori yang melalui proses pembakaran kimiawi di dalam tubuh akan menjadi sumber energi makanan berkarbohidrat dan serat tinggi dapat membantu memperlancar proses pada pencernaan karena sifat kandungan yang ada dalam karbohidrat yang manis maka fungsi karbohidrat kali ini adalah sebagai pemanis alami khususnya dengan kandungan monosakarida dan disakarida fungsi karbohidrat juga berperan penting untuk mengoptimalkan kerja protein karena apabila tubuh mengalami kekurangan asupan karbohidrat maka protein akan menggantikan fungsi karbohidrat sebagai penghasil energi dan zat pembentuk tubuh ,78.0,70.0,90.0,79.33333333333333
membuat tubuh tidak lapar ,12.0,18.0,25.0,18.333333333333332
karbohidrat berguna untuk menambah energi pada tubuh kita ,19.0,15.0,25.0,19.666666666666668
karbohidrak untuk tubuh manusia berguna untuk memberikan energi bagi tubuh kita ,23.0,15.0,25.0,21.0
