Siswa,Jawaban,Manual 1,Manual 2,Manual 3,Rata Manual
siswa_1 ,"Christiano Ronaldo terlahir dengan nama lengkap Cristiano Ronaldo dos Santos Aveiro, lahir pada tanggal 5 Februari 1985 di Funchal adalah seorang pemain sepakbola berkebangsaan Portugal. Saat ini ia bemain di klub Real Madrid di posisi sayap kiri. Nomor punggung 28 ",40.0,60.0,50.0,50.0
siswa_2 ,"Cristiano Ronaldo dos Santos Aveiro (lahir di Funchal, Madeira, Portugal, 5 Februari 1985; umur 31 tahun) atau lebih dikenal Cristiano Ronaldo merupakan seorang pemain sepak bola Portugal. Ia dapat berposisi sebagai sayap kiri atau kanan serta penyerang tengah. Saat ini ia bermain untuk tim Spanyol, Real Madrid dan untuk tim nasional Portugal. Sebelum bermain untuk Real Madrid, ia pernah bermain di Sporting Lisboa dan Manchester United. Pemain yang kerap bernomor punggung 7 di lapangan hijau ini juga akrab dengan sebutan CR7, gabungan dari inisial nama dan nomor punggungnya ",90.0,90.0,90.0,90.0
siswa_3 ,lahir di portugal sebagai warga negara portugal. awal karier pada manchaster united lalu skearang di real madrid dengan nomor punggung 7 ,48.0,60.0,50.0,52.666666666666664
siswa_4 ,"Lahir di Santo Antonio, Portugal 5 Februari 1985. Saat ini berada di klub Real Madrid, dan klub sebelumnya adalah Manchester United. Pada saat di MU bernomor punggung 7 dan di Real Madrid 7. ",72.0,73.0,75.0,73.33333333333333
siswa_6 ,pemain sepak bola pro ,10.0,5.0,10.0,8.333333333333334
siswa_7 ,"Cristiano Ronaldo dos Santos Aveiro, OIH (lahir di Funchal, Madeira, Portugal, 5 Februari 1985; umur 31 tahun) atau lebih dikenal Cristiano Ronaldo merupakan seorang pemain sepak bola Portugal. Ia dapat berposisi sebagai sayap kiri atau kanan serta penyerang tengah. Saat ini ia bermain untuk tim Spanyol, Real Madrid dan untuk tim nasional Portugal. Sebelum bermain untuk Real Madrid, ia pernah bermain di Sporting Lisboa dan Manchester United. Pemain yang kerap bernomor punggung 7 di lapangan hijau ini juga akrab dengan sebutan CR7. Klub Cristiano Ronaldo saat ini ada di Real Madrid. ",85.0,88.0,90.0,87.66666666666667
siswa_8 ,"cristiano ronaldo lahir di portugal, 5 februari 1985, berkebangsaan portugal, bernomor punggung 7, mengikuti klub manchester united dan real madrid, ",70.0,70.0,75.0,71.66666666666667
siswa_9 ,"Cristiano Ronaldo dos Santos Aveiro, OIH (lahir di Funchal, Madeira, Portugal, 5 Februari 1985; umur 31 tahun) atau lebih dikenal Cristiano Ronaldo merupakan seorang pemain sepak bola Portugal. Ia dapat berposisi sebagai sayap kiri atau kanan serta penyerang tengah. Saat ini ia bermain untuk tim Spanyol, Real Madrid dan untuk tim nasional Portugal. Sebelum bermain untuk Real Madrid, ia pernah bermain di Sporting Lisboa dan Manchester United. Pemain yang kerap bernomor punggung 7 di lapangan hijau ini juga akrab dengan sebutan CR7, gabungan dari inisial nama dan nomor punggungnya. ",75.0,79.0,75.0,76.33333333333333
siswa_10 ,"Cristiano Ronaldo dos Santos Aveiro, OIH atau lebih dikenal Cristiano Ronaldo merupakan seorang pemain sepak bola Portugal. Ia dapat berposisi sebagai sayap kiri atau kanan serta penyerang tengah Lahir: 5 Februari 1985, Santo António, Portugal Anak: Cristiano Ronaldo Jr. Tim saat ini: Real Madrid c F Tim nasional sepak bola Portugal Penghargaan: Ballon d Or Sepatu Emas Eropa, lainnya ",40.0,55.0,50.0,48.333333333333336
siswa_11 ,"Nama asli : Cristiano Ronaldo dos Santos Aveiro Tanggal lahir : 05 Februari 1985 Lahir di : Funchal, Madeira, Portugal Zodiac : Aquarius Terkenal sejak bergabung di klub ""Sporting Clube de Portugal"" (1997 - 2003) ",30.0,55.0,50.0,45.0
